n1,n2,weight
58629,58182,-1
58630,39881,-1
58631,39881,-1
58632,39681,-1
58633,58051,-1
58634,39921,-1
58635,39925,-1
58636,39954,-1
58637,39954,-1
58638,39926,-1
58639,39952,-1
58640,58225,-1
58640,58226,-1
58641,39731,-1
58642,58277,-1
58643,39741,-1
58644,58322,-1
58644,58323,-1
58645,58152,-1
58645,58153,-1
58645,58154,-1
40232,39931,1
58646,39818,-1
58647,39929,-1
58648,39929,-1
58649,58270,-1
58650,39873,-1
58650,58186,-1
58651,39748,-1
58652,39889,-1
58653,39884,-1
58654,39935,-1
58655,39868,-1
58656,39773,-1
40233,39945,1
40234,39973,1
40235,58885,1
40236,58885,1
40237,39973,1
58657,58210,-1
58657,58211,-1
40238,39938,1
40239,39938,1
58658,39732,-1
58659,39842,-1
58660,39943,-1
58661,39943,-1
40240,39985,1
58662,58122,-1
58663,58149,-1
58664,39763,-1
40241,39974,1
58665,39946,-1
58666,39939,-1
58667,58320,-1
58668,39945,-1
58669,40139,-1
58670,39965,-1
58670,58238,-1
58671,39959,-1
58672,58089,-1
58673,58118,-1
58673,58117,-1
58673,39764,-1
58674,58235,-1
58674,39957,-1
58675,58119,-1
58675,39765,-1
58676,39964,-1
58677,39957,-1
58677,58235,-1
58678,58227,-1
58679,39955,-1
58680,39956,-1
58681,58119,-1
58681,39765,-1
58682,39721,-1
58683,39948,-1
58684,39958,-1
58684,58236,-1
58685,39721,-1
58686,39881,-1
58687,39738,-1
58688,39768,-1
58689,40035,-1
58690,39751,-1
58691,39884,-1
58692,39807,-1
58693,39905,-1
58694,39905,-1
58695,39884,-1
40242,39938,1
58696,58189,-1
40243,39931,1
58697,39820,-1
58698,39973,-1
58699,39973,-1
58700,39973,-1
40244,39973,1
58701,39973,-1
40245,39973,1
40246,39973,1
40247,39973,1
58702,39973,-1
58703,39765,-1
58703,58119,-1
58704,40016,-1
40248,58215,1
58705,40112,-1
58706,39946,-1
58707,58069,-1
58708,39914,-1
58709,39975,-1
58710,39975,-1
58711,40106,-1
58712,58165,-1
58713,58246,-1
58714,58076,-1
58715,58305,-1
58716,40064,-1
58717,58271,-1
58718,39982,-1
58719,40043,-1
58720,40043,-1
58721,39706,-1
58722,39763,-1
58723,58176,-1
58724,58176,-1
58725,58176,-1
58726,58109,-1
58726,39758,-1
58727,39768,-1
58728,39986,-1
58729,39986,-1
58730,58119,-1
58730,39765,-1
40249,39985,1
40250,39985,1
40251,39985,1
58731,39705,-1
58732,39735,-1
58733,39734,-1
58735,40164,-1
58734,40009,-1
58734,58263,-1
40252,58215,1
58736,40016,-1
58737,58095,-1
58738,39774,-1
58739,58069,-1
58740,58069,-1
58741,58069,-1
58742,39746,-1
58743,39747,-1
58744,39736,-1
58745,39715,-1
58746,40112,-1
58747,40100,-1
58748,40097,-1
58749,40039,-1
58750,39868,-1
58751,58278,-1
58752,39781,-1
58753,40029,-1
58754,39687,-1
40253,40024,1
58755,40027,-1
58756,58092,-1
40254,39938,1
58757,40143,-1
58758,39737,-1
58759,40109,-1
40255,58341,1
40255,40132,1
58760,58217,-1
58760,58216,-1
58761,39824,-1
58762,40040,-1
58763,58288,-1
58764,39867,-1
58765,39730,-1
58766,39731,-1
58767,40045,-1
58768,39986,-1
58769,40035,-1
