key, n_sentences, n_pro_relations, n_cons_relations, avg_out_pro_deg, avg_out_cons_deg, max_out_pro_deg, max_out_cons_deg, avg_in_pro_deg, avg_in_cons_deg, max_in_pro_deg, max_in_cons_deg, avg_depth, max_depth, min_label_size, avg_label_size, max_label_size, min_descr_size, avg_descr_size, max_descr_size
"am-fr6", 9, 3, 5, 0.3333333333333333, 0.5555555555555557, 1, 1, 0.3333333333333333, 0.5555555555555556, 3, 1, 1.4444444444444444, 3, 23, 144.22222222222223, 277, 0, 0.0, 0
"am-fr7", 7, 3, 3, 0.4285714285714286, 0.4285714285714286, 1, 1, 0.4285714285714286, 0.4285714285714286, 2, 2, 1.1428571428571428, 2, 26, 46.42857142857143, 85, 0, 0.0, 0
"am-fr8", 4, 1, 2, 0.25, 0.5, 1, 1, 0.25, 0.5, 1, 1, 1.0, 2, 29, 81.25, 198, 0, 0.0, 0
"am-fr9", 8, 4, 3, 0.5, 0.375, 1, 1, 0.5, 0.375, 2, 1, 1.625, 3, 38, 145.875, 289, 0, 0.0, 0
"am-fr10", 1, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0, 0, 0.0, 0, 51, 51.0, 51, 0, 0.0, 0
"am-en0", 19, 12, 6, 0.6315789473684211, 0.31578947368421056, 1, 1, 0.631578947368421, 0.31578947368421056, 4, 1, 2.3684210526315788, 5, 24, 57.0, 111, 0, 0.0, 0
"am-en1", 11, 5, 5, 0.45454545454545453, 0.45454545454545453, 1, 1, 0.45454545454545453, 0.4545454545454545, 2, 3, 1.4545454545454546, 3, 27, 84.36363636363636, 107, 0, 0.0, 0
"am-en2", 9, 3, 5, 0.3333333333333333, 0.5555555555555557, 1, 1, 0.3333333333333333, 0.5555555555555556, 1, 1, 2.0, 4, 57, 179.55555555555554, 290, 0, 0.0, 0
"am-en3", 10, 5, 4, 0.5, 0.4000000000000001, 1, 1, 0.5, 0.39999999999999997, 2, 1, 2.0, 4, 70, 136.2, 227, 0, 0.0, 0
"am-en4", 7, 2, 4, 0.28571428571428575, 0.5714285714285715, 1, 1, 0.2857142857142857, 0.5714285714285714, 1, 1, 1.7142857142857144, 3, 83, 125.0, 181, 0, 0.0, 0
"am-en5", 10, 5, 4, 0.5, 0.39999999999999997, 1, 1, 0.5, 0.4, 2, 2, 1.7, 3, 54, 93.2, 167, 0, 0.0, 0
"am-en6", 10, 4, 5, 0.39999999999999997, 0.5, 1, 1, 0.39999999999999997, 0.5, 2, 2, 2.1, 4, 82, 128.0, 205, 0, 0.0, 0
